code,entity,continent,year,gdp_per_cap,plastic_waste_per_cap,mismanaged_plastic_waste_per_cap,mismanaged_plastic_waste,coastal_pop,total_pop
RUS,Russia,Europe,2010,23107.78522,0.112,0.02,80759,10812537,142958164
RUS,Russia,Asia,2010,23107.78522,0.112,0.02,80759,10812537,142958164
RWA,Rwanda,Africa,2010,1365.17424,NA,NA,NA,NA,10624005
SHN,Saint Helena,Africa,2010,NA,0.144,0.039,96,6839,4118
KNA,Saint Kitts and Nevis,North America,2010,21412.20145,0.654,0.054,715,36102,52402
LCA,Saint Lucia,North America,2010,12123.83514,0.522,0.113,6709,163227,174267
SPM,Saint Pierre and Miquelon,North America,2010,NA,0.252,0.005,11,5888,NA
VCT,Saint Vincent and the Grenadines,North America,2010,9915.577619,0.221,0.051,2245,120149,109333
WSM,Samoa,Oceania,2010,5399.893096,0.103,0.084,5122,168025,183081
SMR,San Marino,Europe,2010,73862.33744,NA,NA,NA,NA,31534
STP,Sao Tome and Principe,Africa,2010,2641.513948,0.103,0.085,5081,163740,165397
SAU,Saudi Arabia,Asia,2010,45421.22848,0.156,0.016,20552,3593471,27448086
SEN,Senegal,Africa,2010,2183.995051,0.103,0.086,254770,8125063,12433728
SRB,Serbia,Europe,2010,12688.12429,NA,NA,NA,NA,9856222
SYC,Seychelles,Africa,2010,20365.11893,0.358,0.139,4619,91361,86518
SLE,Sierra Leone,Africa,2010,1199.98985,0.041,0.035,36408,2887017,5867536
SGP,Singapore,Asia,2010,72115.8395,0.194,0.004,6472,4492494,5086418
SXM,Sint Maarten (Dutch part),North America,2010,NA,0.252,0.005,70,37429,NA
SVK,Slovakia,Europe,2010,25159.07755,NA,NA,NA,NA,5462119
SVN,Slovenia,Europe,2010,28678.37263,0.145,0.005,556,336594,2029680
SLB,Solomon Islands,Oceania,2010,1871.369352,0.103,0.09,20394,618678,538148
SOM,Somalia,Africa,2010,NA,0.054,0.047,101531,5971169,9330872
ZAF,South Africa,Africa,2010,11887.80503,0.24,0.134,630005,12899201,50132817
KOR,South Korea,Asia,2010,30352.10482,0.112,0.001,33747,41654619,48183584
SSD,South Sudan,Africa,2010,NA,NA,NA,NA,NA,9415421
ESP,Spain,Europe,2010,32507.09397,0.277,0.006,45853,22771488,46076989
LKA,Sri Lanka,Asia,2010,8529.571442,0.357,0.299,1591179,14568174,20859949
SDN,Sudan,Africa,2010,3366.096261,0.103,0.083,22928,752529,34136520
SUR,Suriname,South America,2010,14211.87752,0.163,0.027,3942,402263,524636
SWZ,Swaziland,Africa,2010,7296.511119,NA,NA,NA,NA,1186056
SWE,Sweden,Europe,2010,42942.5625,0.048,0.001,2150,6202234,9379687
CHE,Switzerland,Europe,2010,55866.30507,NA,NA,NA,NA,7664318
SYR,Syria,Asia,2010,NA,0.178,0.119,157904,3621997,20410606
TWN,Taiwan,Asia,2010,NA,0.252,0.006,45718,22211567,23025000
TJK,Tajikistan,Asia,2010,2106.338756,NA,NA,NA,NA,6878637
TZA,Tanzania,Africa,2010,2090.583225,0.023,0.02,48586,6688695,44841226
THA,Thailand,Asia,2010,13486.56241,0.144,0.108,1027739,26043442,69122234
TGO,Togo,Africa,2010,1208.28121,0.057,0.049,35401,1991642,6027798
TKL,Tokelau,Oceania,2010,NA,0.103,0.086,43,1379,1135
TON,Tonga,Oceania,2010,4984.19363,0.223,0.176,6624,102872,104058
TTO,Trinidad and Tobago,North America,2010,31260.90705,3.6,0.19,94066,1358433,1341465
TUN,Tunisia,Africa,2010,10436.3656,0.144,0.088,234309,7274973,10480934
TUR,Turkey,Europe,2010,17959.25911,0.212,0.039,485937,34042862,72752325
TUR,Turkey,Asia,2010,17959.25911,0.212,0.039,485937,34042862,72752325
TKM,Turkmenistan,Asia,2010,9942.426956,NA,NA,NA,NA,5041995
TCA,Turks and Caicos Islands,North America,2010,NA,0.252,0.006,49,22570,38354
TUV,Tuvalu,Oceania,2010,2986.449856,0.144,0.108,457,11563,9827
UGA,Uganda,Africa,2010,1515.866412,NA,NA,NA,NA,33424683
UKR,Ukraine,Europe,2010,7824.498452,0.103,0.052,128765,6812799,45448329
ARE,United Arab Emirates,Asia,2010,57232.61808,0.199,0.004,3016,2018302,7511690
GBR,United Kingdom,Europe,2010,36366.98318,0.215,0.004,67549,43258889,62035570
USA,United States,North America,2010,49374.17889,0.335,0.007,275424,112925034,310383948
URY,Uruguay,South America,2010,17082.40466,0.252,0.024,21562,2433597,3368786
UZB,Uzbekistan,Asia,2010,4239.702208,NA,NA,NA,NA,27444702
VUT,Vanuatu,Oceania,2010,2948.032937,0.295,0.245,22478,251851,239651
VEN,Venezuela,South America,2010,16544.97206,0.252,0.017,102333,16094897,28979857
VNM,Vietnam,Asia,2010,4408.168612,0.103,0.09,1833819,55858245,87848445
ESH,Western Sahara,Africa,2010,NA,NA,NA,NA,NA,530500
YEM,Yemen,Asia,2010,4478.743599,0.103,0.077,169181,6048920,NA
ZMB,Zambia,Africa,2010,3279.277161,NA,NA,NA,NA,13088570
ZWE,Zimbabwe,Africa,2010,1474.877128,NA,NA,NA,NA,12571454
